epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
116,895.433,0.58027,0.3726,0.91667,0.89608,0.95126,0.92685,0.69153,0.93953,1.10547,1.22574,0.0001723,0.0001723,0.0001723
117,903.084,0.57505,0.37229,0.91748,0.90199,0.96021,0.93113,0.70078,0.922,0.92224,1.18718,0.00017032,0.00017032,0.00017032
118,910.801,0.56718,0.36459,0.91247,0.89763,0.9535,0.91406,0.70122,0.92431,1.40135,1.23738,0.00016834,0.00016834,0.00016834
119,918.494,0.57487,0.36354,0.91129,0.91001,0.94872,0.91293,0.69248,0.93238,1.56925,1.20627,0.00016636,0.00016636,0.00016636
120,926.152,0.56145,0.35778,0.91033,0.91448,0.95322,0.93078,0.71347,0.92979,1.27721,1.19736,0.00016438,0.00016438,0.00016438
121,933.885,0.55739,0.36167,0.90864,0.90029,0.95122,0.92214,0.71761,0.90756,1.20123,1.20342,0.0001624,0.0001624,0.0001624
122,941.554,0.5707,0.36142,0.90868,0.89487,0.9626,0.9142,0.70588,0.91191,1.18985,1.21351,0.00016042,0.00016042,0.00016042
123,949.296,0.56436,0.36278,0.91248,0.90204,0.95235,0.92946,0.72589,0.91078,1.12058,1.15839,0.00015844,0.00015844,0.00015844
124,956.932,0.56298,0.36254,0.91232,0.90003,0.93848,0.92548,0.7077,0.94818,1.09335,1.21382,0.00015646,0.00015646,0.00015646
125,964.79,0.56339,0.35668,0.91365,0.89649,0.95683,0.9285,0.70306,1.00573,0.99752,1.31133,0.00015448,0.00015448,0.00015448
126,972.406,0.56187,0.36483,0.90772,0.89937,0.94074,0.92484,0.70332,0.99668,1.17833,1.29424,0.0001525,0.0001525,0.0001525
127,980.086,0.56113,0.35897,0.91084,0.89104,0.95209,0.92888,0.72857,0.92054,1.43441,1.16739,0.00015052,0.00015052,0.00015052
128,987.779,0.55536,0.35669,0.90752,0.89642,0.95212,0.91945,0.71076,0.95771,1.3295,1.24772,0.00014854,0.00014854,0.00014854
129,995.441,0.54913,0.35137,0.90453,0.8965,0.96036,0.92402,0.67245,0.98524,1.09467,1.27876,0.00014656,0.00014656,0.00014656
130,1003.15,0.54669,0.35357,0.89901,0.90861,0.96538,0.93086,0.72021,0.91134,1.18879,1.20615,0.00014458,0.00014458,0.00014458
131,1010.77,0.55619,0.35361,0.90936,0.89183,0.96016,0.93103,0.71305,0.95421,1.24473,1.26776,0.0001426,0.0001426,0.0001426
132,1018.58,0.54722,0.35227,0.90684,0.8995,0.95851,0.91723,0.71512,0.90923,1.06053,1.24444,0.00014062,0.00014062,0.00014062
133,1026.28,0.55306,0.35704,0.91083,0.90873,0.96538,0.92647,0.73544,0.91574,1.23103,1.23718,0.00013864,0.00013864,0.00013864
134,1033.95,0.54232,0.34704,0.90078,0.90771,0.95896,0.92663,0.72295,0.95409,1.01928,1.28855,0.00013666,0.00013666,0.00013666
135,1041.64,0.53953,0.35055,0.90527,0.91029,0.95475,0.92581,0.70127,0.94167,1.14111,1.23073,0.00013468,0.00013468,0.00013468
136,1049.41,0.54392,0.35332,0.90786,0.90044,0.95579,0.92515,0.71424,0.95861,1.25343,1.26653,0.0001327,0.0001327,0.0001327
137,1057.21,0.54069,0.35201,0.90925,0.90551,0.95535,0.91976,0.70303,0.94415,1.18765,1.25534,0.00013072,0.00013072,0.00013072
138,1064.9,0.54712,0.34928,0.90471,0.91141,0.95671,0.92122,0.71747,0.95322,0.98107,1.2309,0.00012874,0.00012874,0.00012874
139,1072.58,0.52995,0.34161,0.89864,0.90744,0.95108,0.9225,0.716,0.95318,1.29194,1.23697,0.00012676,0.00012676,0.00012676
140,1080.31,0.53037,0.33728,0.9009,0.90245,0.96538,0.93111,0.71204,0.87997,0.97852,1.15773,0.00012478,0.00012478,0.00012478
141,1087.97,0.53487,0.3415,0.90251,0.9034,0.96538,0.92973,0.73114,0.92339,1.01057,1.18697,0.0001228,0.0001228,0.0001228
142,1095.78,0.53807,0.34601,0.8985,0.90781,0.96538,0.92643,0.72655,0.92271,0.89786,1.2306,0.00012082,0.00012082,0.00012082
143,1103.6,0.52793,0.33826,0.89698,0.90514,0.95309,0.92316,0.71909,0.95034,1.00787,1.2377,0.00011884,0.00011884,0.00011884
144,1111.3,0.52683,0.34112,0.90009,0.92411,0.95198,0.91862,0.70827,0.94251,1.11653,1.20843,0.00011686,0.00011686,0.00011686
145,1119.05,0.52834,0.33495,0.90306,0.90573,0.95443,0.92151,0.72084,0.89609,1.0823,1.15308,0.00011488,0.00011488,0.00011488
146,1126.81,0.52629,0.33466,0.89716,0.9102,0.95435,0.92107,0.71728,0.92218,1.13081,1.17778,0.0001129,0.0001129,0.0001129
147,1134.52,0.51677,0.32752,0.89738,0.90357,0.95561,0.91965,0.72136,0.96348,1.04478,1.22702,0.00011092,0.00011092,0.00011092
148,1142.26,0.52339,0.33824,0.89682,0.90392,0.95757,0.9229,0.69939,0.96136,0.95734,1.25613,0.00010894,0.00010894,0.00010894
149,1150.04,0.5264,0.33447,0.89948,0.91004,0.95496,0.92624,0.72688,0.90567,1.03246,1.16684,0.00010696,0.00010696,0.00010696
150,1157.75,0.52402,0.33651,0.90155,0.90222,0.95375,0.92354,0.71693,0.95231,1.13396,1.23171,0.00010498,0.00010498,0.00010498
151,1165.47,0.51623,0.33064,0.89624,0.91867,0.95442,0.92923,0.72551,0.94505,0.96454,1.22365,0.000103,0.000103,0.000103
152,1173.16,0.52068,0.33506,0.90058,0.91594,0.95563,0.92342,0.7253,0.95002,1.03518,1.24015,0.00010102,0.00010102,0.00010102
153,1180.97,0.51737,0.32829,0.89757,0.90945,0.96538,0.92842,0.71754,0.94773,0.91794,1.22033,9.904e-05,9.904e-05,9.904e-05
154,1188.62,0.52045,0.3346,0.90339,0.90139,0.95365,0.92576,0.71249,0.95091,1.12454,1.26328,9.706e-05,9.706e-05,9.706e-05
155,1196.37,0.52114,0.33197,0.89171,0.90292,0.95652,0.93054,0.71542,0.91348,1.01896,1.26564,9.508e-05,9.508e-05,9.508e-05
156,1204.1,0.51458,0.33071,0.90112,0.91339,0.95365,0.9244,0.72481,0.8949,1.10195,1.18797,9.31e-05,9.31e-05,9.31e-05
157,1211.71,0.5092,0.32819,0.89311,0.90652,0.95901,0.93741,0.72627,0.8819,0.9715,1.18891,9.112e-05,9.112e-05,9.112e-05
158,1219.31,0.50761,0.32949,0.89494,0.9036,0.94975,0.93232,0.7359,0.88389,1.09912,1.20725,8.914e-05,8.914e-05,8.914e-05
159,1227.07,0.50312,0.32577,0.8905,0.90674,0.95106,0.9427,0.75099,0.87142,1.1506,1.19122,8.716e-05,8.716e-05,8.716e-05
160,1234.8,0.51024,0.32558,0.8928,0.89898,0.96538,0.93257,0.72984,0.88348,1.15317,1.20001,8.518e-05,8.518e-05,8.518e-05
161,1242.52,0.51154,0.33115,0.89549,0.89896,0.95642,0.94488,0.7379,0.8817,0.99335,1.17266,8.32e-05,8.32e-05,8.32e-05
162,1250.29,0.5032,0.32248,0.88904,0.89714,0.95175,0.9445,0.73089,0.8992,1.08741,1.22025,8.122e-05,8.122e-05,8.122e-05
